doi,title,year,is_oa,pdf_source,pdf_url,decision,similarity_score
10.36948/ijfmr.2025.v07i02.43412,Intelligent PDF Chat System: Leveraging Retrieval-Augmented Generation with LLMs,2025,True,publisher,https://www.ijfmr.com/papers/2025/2/43412.pdf,Exclude,0.36064234375953674
10.54097/hhff9g78,Exploring Optimal Prefetching Sizes in RaLMSpec to Enhance Retrieval-Augmented Generation Efficiency,2025,True,publisher,https://hsetdata.com/index.php/ojs/article/download/488/451,Exclude,0.40533384680747986
10.18653/v1/2025.findings-naacl.30,Adaptive Retrieval-Augmented Generation for Conversational Systems,2025,True,,https://aclanthology.org/2025.findings-naacl.30.pdf,Exclude,0.2688724398612976
10.14569/ijacsa.2025.0160478,Transforming Internal Auditing: Harnessing Retrieval-Augmented Generation Technology,2025,True,publisher,http://thesai.org/Downloads/Volume16No4/Paper_78-Transforming_Internal_Auditing.pdf,Exclude,0.2693083584308624
10.18653/v1/2021.findings-emnlp.232,Retrieval Augmented Code Generation and Summarization,2021,True,,https://aclanthology.org/2021.findings-emnlp.232.pdf,Exclude,0.29595276713371277
10.21203/rs.3.rs-7216581/v1,Retrieval augmented generation based dynamic prompting for few-shot biomedical named entity recognition using large language models,2025,True,,https://www.researchsquare.com/article/rs-7216581/latest.pdf,Exclude,0.3010273873806
10.63282/3050-9416.ijaibdcms-v5i4p113,"Vector Databases in Modern Applications: Real-Time Search, Recommendations, and Retrieval-Augmented Generation (RAG)",2024,True,publisher,https://ijaibdcms.org/index.php/ijaibdcms/article/download/257/260,Exclude,0.23228564858436584
10.18653/v1/2025.findings-acl.1096,VideoRAG: Retrieval-Augmented Generation over Video Corpus,2025,True,,https://aclanthology.org/2025.findings-acl.1096.pdf,Exclude,0.24228696525096893
10.63169/gcared2025.p16,Retrieval Augmented Generation (RAG) Model,2025,True,,https://doi.org/10.63169/gcared2025.p16,Exclude,0.3919908106327057
10.21203/rs.3.rs-7163333/v1,Design and Evaluation of a Context-Aware Multimodal Recommendation and QA System with Retrieval-Augmented Generation,2025,True,,https://www.researchsquare.com/article/rs-7163333/latest.pdf,Exclude,0.20954200625419617
10.18653/v1/2025.findings-acl.1384,Accelerating Adaptive Retrieval Augmented Generation via Instruction-Driven Representation Reduction of Retrieval Overlaps,2025,True,,https://aclanthology.org/2025.findings-acl.1384.pdf,Exclude,0.3641420900821686
10.17148/ijarcce.2025.14114,Secure Framework for Retrieval-Augmented Generation: Challenges and Solutions,2025,True,publisher,https://doi.org/10.17148/ijarcce.2025.14114,Exclude,0.1933959275484085
10.18653/v1/2025.magmar-1.8,MT2ST: Adaptive Multi-Task to Single-Task Learning,2025,True,,https://aclanthology.org/2025.magmar-1.8.pdf,Exclude,0.13958385586738586
10.15308/sinteza-2025-544-549,Multimodal Retrieval-Augmented Generation in Knowledge Systems: A Framework for Enhanced Semantic Search and Response Accuracy,2025,True,,https://portal.sinteza.singidunum.ac.rs/Media/files/2025/544-549.pdf,Exclude,0.3176581561565399
10.32996/jcsts.2025.7.9.56,Contextual Retrieval-Augmented Generation: A Serverless Architecture Using AWS Kendra and Claude,2025,True,publisher,https://al-kindipublisher.com/index.php/jcsts/article/download/10876/9646,Exclude,0.2722826600074768
10.18653/v1/2025.findings-naacl.232,GRAG: Graph Retrieval-Augmented Generation,2025,True,,https://aclanthology.org/2025.findings-naacl.232.pdf,Exclude,0.2381691038608551
10.54254/2755-2721/2025.tj23129,PromptCraft-RAG: Context-based Prompt Enhancement of Refining Query for Retrieval Augmented Generation,2025,True,publisher,https://www.ewadirect.com/proceedings/ace/article/view/23129/pdf,Exclude,0.37085381150245667
10.18653/v1/2025.knowledgenlp-1.8,Enhancing Cross-Language Code Translation via Task-Specific Embedding Alignment in Retrieval-Augmented Generation,2025,True,,https://aclanthology.org/2025.knowledgenlp-1.8.pdf,Exclude,0.1923801153898239
10.14569/ijacsa.2023.01411135,Semantic Embeddings for Arabic Retrieval Augmented Generation (ARAG),2023,True,publisher,http://thesai.org/Downloads/Volume14No11/Paper_135-Semantic_Embeddings_for_Arabic_Retrieval_Augmented_Generation.pdf,Exclude,0.2624174952507019
10.21203/rs.3.rs-7368501/v1,Integrating Retrieval-Augmented Generation and Thematic NLP for Vaccine Confidence Modeling in Alaska,2025,True,,https://www.researchsquare.com/article/rs-7368501/latest.pdf,Exclude,0.2319313883781433
10.18653/v1/2025.findings-naacl.375,On the Influence of Context Size and Model Choice in Retrieval-Augmented Generation Systems,2025,True,,https://aclanthology.org/2025.findings-naacl.375.pdf,Exclude,0.36381369829177856
10.18653/v1/2023.emnlp-main.223,Longtriever: a Pre-trained Long Text Encoder for Dense Document Retrieval,2023,True,,https://aclanthology.org/2023.emnlp-main.223.pdf,Exclude,0.44579580426216125
10.1101/2025.09.12.25334809,Open-source DeepSeek-R1 Outperforms Proprietary Non-Reasoning Large Language Models With and Without Retrieval-Augmented Generation,2025,True,repository,https://www.medrxiv.org/content/medrxiv/early/2025/09/14/2025.09.12.25334809.full.pdf,Exclude,0.286188542842865
10.18653/v1/2025.findings-naacl.157,MIRAGE: A Metric-Intensive Benchmark for Retrieval-Augmented Generation Evaluation,2025,True,,https://aclanthology.org/2025.findings-naacl.157.pdf,Exclude,0.350067675113678
10.1038/s41598-025-19257-3,Construction of intelligent decision support systems through integration of retrieval-augmented generation and knowledge graphs,2025,True,publisher,https://www.nature.com/articles/s41598-025-19257-3.pdf,Exclude,0.2483082115650177
10.18653/v1/2025.findings-acl.1165,CausalRAG: Integrating Causal Graphs into Retrieval-Augmented Generation,2025,True,,https://aclanthology.org/2025.findings-acl.1165.pdf,Exclude,0.2994286119937897
10.54254/2755-2721/2025.tj24496,A Retrieval-augmented Generation Framework with Retriever and Generator Modules for Enhancing Factual Consistency,2025,True,publisher,https://www.ewadirect.com/proceedings/ace/article/view/24496/pdf,Exclude,0.41505324840545654
10.18653/v1/2025.acl-long.1461,IRIS: Interpretable Retrieval-Augmented Classification for Long Interspersed Document Sequences,2025,True,,https://aclanthology.org/2025.acl-long.1461.pdf,Exclude,0.45882052183151245
10.18653/v1/2024.inlg-genchal.10,TeamSaarLST at the GEM’24 Data-to-text Task: Revisiting symbolic retrieval in the LLM-age,2024,True,,https://aclanthology.org/2024.inlg-genchal.10.pdf,Exclude,0.2926901876926422
10.18653/v1/2025.magmar-1.6,Making LVLMs Look Twice: Contrastive Decoding with Contrast Images,2025,True,,https://aclanthology.org/2025.magmar-1.6.pdf,Exclude,0.09750302881002426
10.32388/ud4v3z,Document Version Text,2020,True,publisher,https://www.qeios.com/read/UD4V3Z/pdf,Exclude,0.34154173731803894
10.18653/v1/2025.knowledgenlp-1.18,A Novel Multi-Document Retrieval Benchmark: Journalist Source-Selection in Newswriting,2025,True,,https://aclanthology.org/2025.knowledgenlp-1.18.pdf,Exclude,0.4386785626411438
10.24132/jwscg.2025-11,CAD-RAG: A multi-modal retrieval augmented framework for user editable 3D CAD model generation,2025,True,publisher,https://doi.org/10.24132/jwscg.2025-11,Exclude,0.16476669907569885
10.12928/telkomnika.v18i4.14389,Single document keywords extraction in Bahasa Indonesia using phrase chunking,2020,True,publisher,http://telkomnika.uad.ac.id/index.php/TELKOMNIKA/article/download/14389/8312,Include,0.4718320667743683
10.18653/v1/2025.findings-acl.517,Explainable Depression Detection in Clinical Interviews with Personalized Retrieval-Augmented Generation,2025,True,,https://aclanthology.org/2025.findings-acl.517.pdf,Exclude,0.23175425827503204
10.21203/rs.3.rs-7360068/v1,Adapting bioinformatics data systems in the era of foundational models: leveraging retrieval-augmented generation and low-resource large language models,2025,True,,https://www.researchsquare.com/article/rs-7360068/latest.pdf,Exclude,0.2956048548221588
10.1017/pds.2025.10058,AI-augmented systems engineering: conceptual application of retrieval-augmented generation for model-based systems engineering graph,2025,True,publisher,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/BE66253F612CC8F9C3C3DFD91ED60828/S2732527X25100588a.pdf/div-class-title-ai-augmented-systems-engineering-conceptual-application-of-retrieval-augmented-generation-for-model-based-systems-engineering-graph-div.pdf,Exclude,0.10748139023780823
10.4274/dir.2025.253272,Retrieval-augmented generation for answering Breast Imaging Reporting and Data System (BI-RADS)-related questions with large language models,2025,True,publisher,https://www.dirjournal.org/pdf/beb8919b-f013-4ea1-b1c8-40332e840fe1/articles/dir.2025.253272/DIR-2025.253272.pdf,Exclude,0.2967137098312378
10.1109/icdar.2019.00194,"Labeling, Cutting, Grouping: An Efficient Text Line Segmentation Method for Medieval Manuscripts",2019,True,repository,http://export.arxiv.org/pdf/1906.11894,Exclude,0.4384373128414154
10.18653/v1/2025.acl-long.1312,SeaKR: Self-aware Knowledge Retrieval for Adaptive Retrieval Augmented Generation,2025,True,,https://aclanthology.org/2025.acl-long.1312.pdf,Exclude,0.3224051892757416
10.18653/v1/2022.findings-emnlp.384,XRICL: Cross-lingual Retrieval-Augmented In-Context Learning for Cross-lingual Text-to-SQL Semantic Parsing,2022,True,,https://aclanthology.org/2022.findings-emnlp.384.pdf,Exclude,0.21260833740234375
10.18653/v1/2025.acl-long.148,DioR: Adaptive Cognitive Detection and Contextual Retrieval Optimization for Dynamic Retrieval-Augmented Generation,2025,True,,https://aclanthology.org/2025.acl-long.148.pdf,Exclude,0.2872568368911743
